SystematicName	ControlType	gTotalGeneSignal	gTotalGeneError	gIsGeneDetected
hsa-miR-488*	0	-2.15794	2.41951	0
hsa-miR-489	0	-2.29479	2.4203	0
hsa-miR-490-3p	0	-0.324568	2.42445	0
hsa-miR-490-5p	0	0.492965	1.71551	0
hsa-miR-491-3p	0	3.28803	1.73083	0
hsa-miR-491-5p	0	11.3787	2.08119	1
hsa-miR-492	0	0.115403	2.42255	0
hsa-miR-493	0	0.857242	1.72193	0
hsa-miR-493*	0	91.9704	8.41808	1
hsa-miR-494	0	27.3953	3.10617	1
hsa-miR-495	0	203.484	16.704	1
hsa-miR-496	0	1.13376	2.42827	0
hsa-miR-497	0	176.738	16.0377	1
hsa-miR-497*	0	-1.22829	1.7118	0
hsa-miR-498	0	0.472835	2.42111	0
hsa-miR-499-3p	0	-2.04304	1.71135	0
hsa-miR-499-5p	0	7.06379	2.48562	0
hsa-miR-500	0	-0.955555	1.98729	0
hsa-miR-500*	0	92.1064	7.97928	1
hsa-miR-501-3p	0	28.1594	2.73533	1
hsa-miR-501-5p	0	5.37848	1.76668	1
hsa-miR-502-3p	0	72.0038	6.49776	1
hsa-miR-502-5p	0	25.4749	3.37579	1
hsa-miR-503	0	121.104	8.8666	1
hsa-miR-504	0	1.27345	1.71524	0
hsa-miR-505	0	348.332	30.0423	1
hsa-miR-505*	0	166.012	11.2384	1
hsa-miR-506	0	-1.12657	2.42074	0
hsa-miR-507	0	-0.508121	2.42126	0
hsa-miR-508-3p	0	-1.20241	2.42036	0
hsa-miR-508-5p	0	1.67107	1.99897	0
hsa-miR-509-3-5p	0	-1.97512	2.41916	0
hsa-miR-509-3p	0	-1.97648	2.41931	0
hsa-miR-509-5p	0	-3.22579	2.41887	0
hsa-miR-510	0	-1.15462	2.41937	0
hsa-miR-511	0	-2.26159	1.71073	0
hsa-miR-512-3p	0	1.15879	2.42485	0
hsa-miR-512-5p	0	-0.959764	2.41968	0
hsa-miR-513a-3p	0	-0.0830213	1.71265	0
hsa-miR-513a-5p	0	-1.84624	2.42048	0
hsa-miR-513b	0	-0.976906	1.71183	0
hsa-miR-513c	0	0.353802	1.71441	0
hsa-miR-514	0	-0.72363	2.42226	0
hsa-miR-515-3p	0	0.781711	2.42098	0
hsa-miR-515-5p	0	-2.13329	1.98376	0
hsa-miR-516a-3p	0	-0.82015	1.98359	0
hsa-miR-516a-5p	0	-2.01972	2.41923	0
hsa-miR-516b	0	-2.43592	2.42005	0
hsa-miR-517*	0	-0.794048	2.41997	0
hsa-miR-517a	0	1.29959	2.42924	0
hsa-miR-517b	0	-0.12085	2.42209	0
hsa-miR-517c	0	-0.143447	2.42124	0
hsa-miR-518a-3p	0	-0.390544	2.42424	0
hsa-miR-518b	0	-0.559887	2.42137	0
hsa-miR-518c	0	-1.52311	2.41932	0
hsa-miR-518c*	0	-0.475267	2.4205	0
hsa-miR-518d-3p	0	-0.388706	2.42167	0
hsa-miR-518d-5p	0	-2.15263	2.41953	0
hsa-miR-518e	0	0.558003	2.422	0
hsa-miR-518e*	0	-1.41967	1.98359	0
