	GSM857496	GSM857497	GSM857498	GSM857499	GSM857500
ILMN_1652376	126.4744	112.7757	116.1811	102.9626	94.14571
ILMN_1652378	727.5577	822.4838	1159.312	163.1643	216.1294
ILMN_1652379	576.2658	477.5965	286.9197	534.7445	801.5154
ILMN_1652381	117.4473	130.1442	141.7584	130.3571	127.2766
ILMN_1652392	117.7446	130.5679	119.0338	141.4139	133.1488
ILMN_1652394	445.1288	346.7044	210.3455	498.162	606.7869
ILMN_1652397	109.9624	132.918	125.4971	110.5839	110.6533
ILMN_1652407	125.7516	129.5814	121.2231	384.7166	472.0179
ILMN_1652409	371.4633	371.7768	322.3047	216.0181	265.3571
ILMN_1652412	188.553	137.6298	134.5704	143.933	162.8764
ILMN_1652413	124.4233	119.0876	127.3085	106.7058	103.4276
ILMN_1652417	131.4169	120.436	124.1489	120.5957	124.7271
ILMN_1652424	118.9583	116.449	135.0623	122.2668	115.2013
ILMN_1652429	107.1424	114.1183	111.5085	121.1471	122.6733
ILMN_1652430	127.0037	115.0651	126.8703	136.5666	128.213
ILMN_1652431	105.9138	114.6458	107.7943	111.8556	106.2584
ILMN_1652434	117.4102	114.6939	111.0695	154.2141	169.181
ILMN_1652436	146.4787	120.8376	125.7647	114.6733	118.8872
ILMN_1652439	116.6096	122.4613	136.2493	99.51713	111.251
ILMN_1652445	130.9245	120.4605	138.9315	150.9691	155.0021
ILMN_1652450	126.8417	134.7285	137.5647	129.7945	133.9521
ILMN_1652456	481.4817	509.9195	435.8057	874.2827	660.6183
ILMN_1652459	143.3727	190.6617	147.5276	539.5201	475.8425
ILMN_1652461	168.6588	138.0604	121.9673	120.6606	108.9056
ILMN_1652464	139.618	133.423	185.7731	114.4763	122.9657
ILMN_1652465	153.4017	190.3296	147.7541	104.2962	104.8175
ILMN_1652466	529.8251	471.9247	304.4876	146.4478	142.3544
ILMN_1652469	14980.45	14274.1	11560.41	126.4881	130.5412
ILMN_1652472	180.1099	155.7424	125.2691	154.8583	147.5836
ILMN_1652486	157.1099	152.1839	132.8214	485.5749	320.9719
ILMN_1652487	254.6709	176.6176	204.9184	274.7361	197.7642
ILMN_1652488	1574.668	1601.133	2198.471	115.5505	116.979
