#  The average normalized Cp of the samples in a control or test group.				
# reports the average normalized Cp of the samples in control or test group.

ID_REF	AVERAGE SAMPLE 1-4	AVERAGE SAMPLE 5-9	AVERAGE SAMPLE 10-13	AVERAGE SAMPLE 14-18
design_target_name	Healthy-control	sCAD	STEMI d0	STEMI d5
hsa-miR-135b	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-137	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-147	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-185*	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-212	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-214	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-216a	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-298	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-302a	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-302d	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-302d*	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-346	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-34b	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-373	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-455-5p	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-490-3p	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-491-3p	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-502-5p	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-506	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-508-3p	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-509-3-5p	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-510	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-518b	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-518c	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-519a	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-524-5p	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-525-5p	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-526b*	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-548b-3p	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-598	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-608	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-631	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-642	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-662	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-885-5p	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-887	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-888	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-934	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-936	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
