SystematicName	ControlType	gTotalGeneSignal	gTotalGeneError	gIsGeneDetected
hsa-miR-33b	0	5.99999	1.6284	1
hsa-miR-33b*	0	2.03659	1.55832	0
hsa-miR-340	0	276.583	19.6833	1
hsa-miR-340*	0	672.169	61.1493	1
hsa-miR-342-3p	0	4261.03	375.353	1
hsa-miR-342-5p	0	114.298	10.8332	1
hsa-miR-345	0	0.532568	1.5513	0
hsa-miR-346	0	-1.44287	1.79362	0
hsa-miR-34a	0	192.055	15.8995	1
hsa-miR-34a*	0	-1.4745	2.18793	0
hsa-miR-34b	0	2.18767	2.20264	0
hsa-miR-34b*	0	3.87192	2.21388	0
hsa-miR-34c-3p	0	-1.7273	1.54854	0
hsa-miR-34c-5p	0	-1.02917	2.18829	0
hsa-miR-361-3p	0	105.948	9.97863	1
hsa-miR-361-5p	0	1575.69	137.807	1
hsa-miR-362-3p	0	11.289	2.40068	1
hsa-miR-362-5p	0	144.811	12.7657	1
hsa-miR-363	0	543.276	39.9024	1
hsa-miR-363*	0	-1.42446	1.5474	0
hsa-miR-365	0	7.33561	2.25185	0
hsa-miR-367	0	-0.772144	2.18812	0
hsa-miR-367*	0	1.78932	1.67331	0
hsa-miR-369-3p	0	8.82321	2.29575	1
hsa-miR-369-5p	0	104.456	8.72151	1
hsa-miR-370	0	18.2517	2.88842	1
hsa-miR-371-3p	0	-1.57991	2.19026	0
hsa-miR-371-5p	0	1.24631	1.55432	0
hsa-miR-372	0	-0.176865	2.18929	0
hsa-miR-373	0	3.81295	2.2228	0
hsa-miR-373*	0	-1.60774	2.18961	0
hsa-miR-374a	0	923.805	65.9829	1
hsa-miR-374a*	0	1.94247	1.55849	0
hsa-miR-374b	0	1618.93	114.668	1
hsa-miR-374b*	0	1.92905	1.55784	0
hsa-miR-375	0	-1.46551	2.18781	0
hsa-miR-376a	0	447.052	35.9855	1
hsa-miR-376a*	0	94.2856	8.71294	1
hsa-miR-376b	0	49.2985	4.86396	1
hsa-miR-376c	0	727.074	57.0203	1
hsa-miR-377	0	1636.16	145.54	1
hsa-miR-377*	0	71.8889	6.376	1
hsa-miR-378	0	11.5734	2.3949	1
hsa-miR-378*	0	14.1694	2.44273	1
hsa-miR-379	0	191.767	16.894	1
hsa-miR-379*	0	0.873841	1.55259	0
hsa-miR-380	0	1.84425	2.1996	0
hsa-miR-380*	0	-1.90473	1.54996	0
hsa-miR-381	0	248.896	20.4027	1
hsa-miR-382	0	356.11	32.8442	1
hsa-miR-383	0	0.754051	1.79717	0
hsa-miR-384	0	-2.06569	3.09467	0
hsa-miR-409-3p	0	1287.5	93.2544	1
hsa-miR-409-5p	0	209.202	13.6773	1
hsa-miR-410	0	1313.39	93.1899	1
hsa-miR-411	0	27.8473	3.11319	1
hsa-miR-411*	0	7.79055	1.69572	1
hsa-miR-412	0	-0.612031	1.54867	0
hsa-miR-421	0	45.6137	4.74797	1
hsa-miR-422a	0	0.181141	1.55133	0
hsa-miR-423-3p	0	64.7727	4.8434	1
hsa-miR-423-5p	0	548.985	50.6032	1
hsa-miR-424	0	555.172	44.5237	1
